strain,Gene,ratio_result_nq:06_12_12_12:0428-0027:0.022806:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_14_46:0986-0033:0.035816:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_21_63:0329-0187a:0.002197:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_18_94:0109-0187:0.0424:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_24_30:0443-0269:0.128823:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_06_64:0850-0284:0.11164:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_23_23:0850-0259:0.0409225:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_12_04_5-5:3492-0019:0.172:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_01_10_6-21:1315-0399:0.119:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_03_25_8-53:0958-0254:0.0926:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_06_04_9-84:1120-0002:2.07:uM::::5_20:heho_060929_012807:YPD pH7,essential,zygosity
YAR031W,PRM9,0.0944519,0.0447705,-0.00966339,-0.232045,-0.186155,-0.0798463,-0.0818841,0.261127,-0.0513445,0.214471,-0.0138492,no,hom
YAR035C-A,YAR035C-A,-0.222801,-0.0763518,0.016452,0.0169108,-0.134211,0.0303551,-0.10062,0.0893142,-0.103794,-0.0134894,0.0116063,no,hom
YAR035W,YAT1,-0.122142,-0.0444372,-0.151787,-0.053122,0.00317921,-0.0121832,0.0138954,-0.140501,-0.0519602,-0.147296,-0.0395165,no,hom
YAR037W,YAR037W,-0.121538,-0.0274406,-0.0383225,-0.101204,-0.102383,-0.0414728,-0.103126,0.0548279,-0.169093,-0.0283216,-0.071525,,hom
YAR040C,YAR040C,-0.0294386,0.0131017,-0.162175,-0.187875,-0.0321183,-0.0928623,-0.164426,-0.100802,0.220209,-0.27975,-0.261863,,hom
YAR042W,SWH1,0.0391833,-0.0360584,-0.115316,0.0591371,0.260983,-0.148178,-0.129086,0.401937,0.0714327,0.0354571,0.0704988,no,hom
YAR042W,SWH1,,,,,,,,,,,,no,hom
YAR043C,YAR043C,-0.364081,0.0583152,-0.28809,-0.449007,-0.195104,-0.0247069,-0.409437,0.578502,-0.239978,-0.120285,-0.252511,no,hom
YAR044W,YAR044W,-0.0923158,0.22815,-0.160837,-0.051939,-0.0974461,-0.131977,0.0225582,0.650096,-0.225206,-0.064027,0.143264,no,hom
YAR047C,YAR047C,0.134704,0.0827025,-0.126048,0.186072,0.00796228,-0.0843676,-0.0112605,0.145688,-0.0695563,-0.261335,-0.0195307,no,hom
YAR050W,FLO1,-0.109896,-0.139559,-0.0939841,-0.154161,0.0058594,-0.0192783,0.0173822,0.0468364,-0.0836264,0.00437446,-0.0974425,no,hom
YBL001C,ECM15,-0.0383772,0.0194078,-0.0497564,0.0498884,-0.0214081,-0.034,-0.0137723,0.0435965,0.0758094,-0.00613221,-0.0421548,no,hom
YBL002W,HTB2,-0.117459,-0.224886,-0.142536,0.0878701,-0.10846,-0.0297905,-0.222704,-0.0839251,0.0405614,-0.0677342,0.0101445,no,hom
YBL003C,HTA2,0.00190913,-0.0818061,-0.0195666,-0.117385,0.00771646,-0.0433084,0.0416859,-0.0527617,0.145521,0.0669333,-0.0560703,no,hom
YBL004W,UTP20,0.026866,0.0255766,0.0458629,-0.0763845,-0.0265884,-0.0264845,0.0513769,-0.0229642,0.188774,0.0765214,0.00628679,yes,het
YBL005W,PDR3,-0.10827,0.00523053,0.0195003,-0.158602,-0.0825529,0.0647395,-0.0891329,0.0374129,0.0751982,0.165486,-0.0551424,no,hom
YBL006C,LDB7,0.319844,0.197136,0.215503,-0.302093,-0.29502,-0.27569,1.93038,0.906008,0.225997,0.387313,0.112998,no,hom
YBL007C,SLA1,-0.186803,0.0848982,-0.0868347,0.287081,-0.130581,-0.0611119,0.504519,-0.220276,-0.240496,0.000192751,-0.0500949,no,hom
YBL008W,HIR1,-0.11872,-0.119584,-0.189997,-0.00765549,-0.203008,-0.0205829,0.208233,-0.0409239,-0.00899795,0.0281554,0.155034,no,hom
YBL008W-A,YBL008W-A,-0.0368134,-0.0513308,-0.0152689,0.206219,-0.28117,-0.185658,0.352164,0.0959427,-0.0378876,-0.0581474,-0.0699016,no,hom
YBL009W,ALK2,-0.0603204,-0.0558417,0.126275,-0.00779462,-0.140087,0.0242953,-0.221737,0.0561163,0.356264,-0.0287064,0.0380243,no,hom
YBL010C,YBL010C,0.144034,-0.053044,-0.12744,-0.123865,-0.129818,0.0818547,0.167643,0.056802,0.186333,0.0180398,0.1721,no,hom
YBL011W,SCT1,0.4201,0.195737,-0.136545,0.0713731,0.113546,0.210002,0.0840777,0.553769,0.279617,-0.338417,-0.265663,no,hom
YBL012C,YBL012C,0.63292,-0.0388187,-0.0148298,-0.145972,0.505173,0.0274189,-0.139593,0.483542,-0.54858,0.112773,0.038159,no,hom
YBL013W,FMT1,-0.100041,-0.0141727,-0.43435,-0.116105,-0.114495,-0.0314543,-0.00360682,-0.00698605,0.00369158,0.0964625,0.238898,no,hom
YBL014C,RRN6,0.0123048,-0.0558108,0.115529,0.00823867,-0.0525429,0.0502368,0.0144238,0.0179384,-0.042842,0.0531149,0.055702,yes,het
YBL015W,ACH1,-0.000652178,-0.00780158,-0.0484926,-0.00103945,-0.0847277,-0.0658503,-0.0238708,0.0158501,-0.077649,-0.0962205,-0.0113005,no,hom
YBL016W,FUS3,-0.129519,0.090749,-0.0428655,0.0540759,0.0311327,-0.0281974,-0.106305,0.00807594,-0.152254,-0.137048,-0.213913,no,het
YBL017C,PEP1,-0.0506718,-0.0216287,-0.0319743,-0.170028,-0.140747,0.139924,0.105194,-0.0342857,0.0197766,0.0640346,-0.164256,no,hom
YBL018C,POP8,-0.144371,0.0676887,0.0095094,0.0721376,-0.0542386,0.0307893,-0.123593,0.0482415,-0.0797456,0.0194617,-0.12731,yes,het
YBL019W,APN2,-0.00945739,-0.124652,0.00306641,0.0475741,-0.00566701,-0.073704,-0.115685,0.0496655,-0.0360138,-0.0968049,-0.0950547,no,hom
YBL020W,RFT1,0.0326565,-0.0714803,-0.0248321,-0.0245334,-0.065772,-0.0458116,-0.0299062,0.0610634,-0.0118516,-0.0461506,-0.0874882,yes,het
YBL021C,HAP3,-0.2298,-0.013853,-0.126006,-0.0863508,-0.194418,0.105764,-0.12013,0.140646,-0.050728,0.0739157,-0.103458,no,hom
YBL022C,PIM1,0.272506,0.354225,0.17369,0.0940452,0.132879,-0.102542,0.317642,1.4707,0.0692094,-0.0816262,0.249598,no,hom
YBL023C,MCM2,-0.171922,-0.0510765,0.158457,0.0454151,0.000274256,-0.155204,-0.00158677,-0.0452264,-0.098166,0.138577,-0.180577,yes,het
YBL024W,NCL1,-0.579296,-0.373475,-0.328943,-0.156162,-0.217788,-0.096794,0.0821188,-0.444543,-0.0254774,-0.193743,0.0019365,no,hom
YBL025W,RRN10,0.225092,-0.0765143,-0.114824,0.0273205,-0.015412,-0.0809453,0.0512137,0.147194,0.0664237,-0.11804,0.297936,no,het
YBL026W,LSM2,0.992755,0.0652631,-0.193272,-0.196688,-0.205556,0.169933,4.98126,-0.117803,0.455313,0.0458972,-0.715787,yes,het
YBL027W,RPL19B,0.0576096,0.125993,-0.13228,0.00518252,-0.294999,-0.215632,-0.117091,-0.27056,-0.128315,-0.141406,-0.162852,no,hom
YBL028C,YBL028C,-0.141031,-0.112449,-0.0145203,-0.243274,-0.129192,0.0543881,-0.166607,-0.00297803,0.173235,-0.0260122,-0.0873526,no,hom
YBL029C-A,YBL029C-A,-0.196712,-0.0807844,-0.000327031,-0.0231764,-0.162927,-0.0758768,0.222614,-0.0205804,-0.0416325,-0.0235569,-0.114213,no,hom
YBL029W,YBL029W,-0.124842,0.0430313,0.0347164,0.0637602,-0.0924338,-0.0507937,-0.0605197,0.108419,0.270881,-0.135011,-0.103609,no,hom
YBL030C,PET9,0.540801,0.0352187,-0.0454301,-0.399116,0.11019,-0.0520626,-0.223001,0.156134,-0.0723802,-0.0509251,0.77081,yes,het
YBL031W,SHE1,-0.00227209,0.226386,-0.154238,-0.16213,-0.074223,0.252958,1.55172,0.54255,0.147657,-0.339241,-0.0656908,no,hom
YBL032W,HEK2,-0.272547,0.249483,0.100836,-0.0767738,-0.0685848,-0.211273,-0.565245,0.690187,0.17634,-0.0422371,-0.191538,no,hom
YBL033C,RIB1,,,,,,,,,,,,no,hom
YBL034C,STU1,-0.0559936,0.121477,0.0403828,0.174305,-0.143134,-0.019297,0.0166032,-0.180156,0.152567,0.105496,0.0228721,yes,het
YBL035C,POL12,0.161148,-0.00739671,-0.0517339,-0.0836696,-0.0479392,-0.00566695,0.355617,0.0398331,-0.0808357,-0.115466,0.388378,yes,het
YBL036C,YBL036C,-0.0593624,-0.0463959,-0.0126315,0.0302133,-0.0339186,0.0122823,-0.0658483,0.0239171,-0.0385261,-0.0306258,-0.0987644,no,hom
YBL037W,APL3,0.0983848,0.0304368,-0.0920418,-0.0772512,-0.0921737,-0.114091,-0.00530556,-0.109358,-0.00588644,-0.0962015,-0.0742122,no,hom
YBL038W,MRPL16,-0.496835,1.06045,0.103489,0.587656,-0.137543,-0.0775295,0.653967,-0.689787,-0.123933,-0.0893695,-0.395863,no,hom
YBL039C,URA7,0.146149,-0.29532,-0.283703,-0.0668569,-0.134054,-0.311223,-0.492282,-0.601469,-0.210185,-0.241395,-0.033351,no,hom
YBL039W-A,YBL039W-A,-0.159261,-0.0308208,-0.0623877,0.00751328,-0.118813,-0.0869465,0.0643183,0.00691009,-0.0396744,-0.00061899,-0.086918,,hom
YBL040C,ERD2,-0.138853,0.0792895,0.0902608,-0.0300119,-0.171976,0.00531099,0.184811,-0.0660299,0.111213,-0.0371919,0.12191,yes,het
